0,80-0,60
2,17-0,263
3,17-0,263
1,97-0,0
1,18-0,263
0,19-0,265
1,98-0,0
3,98-0,0
3,18-0,267
1,99-0,0
3,100-0,0
1,100-0,0
3,19-0,267
1,19-0,268
2,19-0,268
0,20-0,269
1,102-0,0
2,105-0,0
1,104-0,0
1,20-0,279
2,20-0,280
3,105-0,0
0,21-0,283
3,20-0,287
0,22-0,285
3,21-0,286
1,21-0,286
2,22-0,284
1,108-0,0
0,23-0,285
1,22-0,285
0,90-0,67
0,91-0,63
0,92-0,61
0,93-0,59
0,94-0,56
0,96-0,50
0,97-0,48
0,101-0,37
0,104-0,27
0,98-0,46
0,99-0,43
1,23-0,285
3,23-0,287
3,111-0,0
0,24-0,291
2,115-0,0
1,24-0,291
3,113-0,0
3,24-0,293
2,25-0,295
0,26-0,294
3,115-0,0
1,115-0,0
3,25-0,296
3,116-0,0
1,116-0,0
1,25-0,299
3,117-0,0
1,26-0,298
0,27-0,302
1,118-0,0
3,27-0,300
2,28-0,302
2,122-0,0
0,28-0,303
3,120-0,0
3,28-0,302
1,120-0,0
2,123-0,0
2,124-0,0
0,29-0,305
2,29-0,307
1,29-0,304
2,30-0,304
0,30-0,305
0,31-0,301
3,122-0,0
3,30-0,302
1,30-0,302
1,123-0,0
2,31-0,303
0,112-0,46
0,114-0,41
0,32-0,303
2,32-0,305
3,32-0,303
3,31-0,307
0,118-0,34
0,116-0,41
1,126-0,0
2,128-0,0
1,33-0,303
0,34-0,304
2,129-0,0
2,35-0,302
3,127-0,0
0,35-0,305
3,34-0,307
0,36-0,303
2,36-0,303
3,35-0,304
0,122-0,34
0,120-0,40
0,125-0,25
0,37-0,303
1,36-0,305
1,131-0,0
3,130-0,0
2,37-0,306
3,36-0,308
2,38-0,306
3,37-0,308
1,133-0,0
0,39-0,307
3,132-0,0
3,38-0,309
1,38-0,310
1,39-0,307
3,133-0,0
1,135-0,0
0,40-0,309
0,126-0,38
0,131-0,22
0,130-0,24
3,134-0,0
3,40-0,311
1,137-0,0
3,135-0,0
2,139-0,0
2,42-0,313
3,41-0,315
0,42-0,315
3,42-0,314
1,41-0,315
0,44-0,312
3,138-0,0
1,42-0,314
1,43-0,316
3,44-0,317
2,45-0,319
1,143-0,1
3,141-0,1
2,46-0,319
3,45-0,323
1,44-0,324
2,47-0,322
0,47-0,324
3,46-0,324
1,147-0,0
3,145-0,0
1,45-0,325
0,143-0,22
0,141-0,28
3,146-0,0
1,46-0,330
1,150-0,0
3,149-0,0
3,47-0,333
2,49-0,332
0,49-0,335
1,47-0,337
3,48-0,340
1,48-0,339
3,49-0,339
2,51-0,339
3,153-0,0
1,49-0,340
1,156-0,0
3,154-0,0
0,52-0,344
2,52-0,345
3,156-0,0
3,51-0,344
2,53-0,346
3,157-0,0
2,161-0,0
1,50-0,349
1,160-0,0
3,52-0,348
1,51-0,351
0,54-0,353
2,54-0,354
1,162-0,1
2,163-0,2
3,161-0,0
2,166-0,0
2,55-0,364
1,166-0,0
2,167-0,0
3,53-0,367
3,164-0,0
3,165-0,0
1,169-0,0
1,52-0,378
0,55-0,379
0,56-0,376
3,54-0,377
3,168-0,0
2,172-0,0
2,56-0,378
3,55-0,376
2,57-0,377
3,169-0,0
1,172-0,0
0,149-0,83
0,147-0,88
3,171-0,0
2,176-0,0
2,177-0,0
1,54-0,388
1,178-0,0
2,58-0,394
0,58-0,397
1,180-0,0
1,55-0,399
1,56-0,399
0,59-0,400
3,57-0,402
0,60-0,399
3,58-0,400
2,60-0,400
1,57-0,401
2,61-0,403
2,185-0,0
3,59-0,406
3,183-0,0
1,185-0,0
1,58-0,409
0,157-0,106
3,185-0,0
0,61-0,414
2,62-0,413
3,186-0,0
1,188-0,0
3,187-0,0
2,190-0,0
3,60-0,418
1,59-0,424
2,193-0,0
0,62-0,427
3,190-0,0
1,60-0,425
1,193-0,0
2,194-0,0
3,191-0,0
2,63-0,429
3,194-0,0
3,61-0,435
2,198-0,0
3,195-0,0
1,61-0,437
1,198-0,0
