3,59-0,212
3,60-0,208
1,57-0,213
2,59-0,210
2,60-0,206
0,63-0,207
0,62-0,211
1,60-0,214
1,61-0,211
3,62-0,211
2,62-0,211
2,61-0,214
1,62-0,208
3,63-0,208
2,63-0,208
1,64-0,204
2,65-0,204
1,63-0,208
3,65-0,204
3,64-0,208
0,64-0,208
2,64-0,208
0,65-0,204
1,65-0,201
1,66-0,198
2,67-0,198
2,66-0,201
0,66-0,201
3,66-0,201
2,69-0,203
2,68-0,206
1,67-0,206
1,68-0,203
3,69-0,202
3,68-0,205
0,67-0,207
3,67-0,207
0,68-0,205
2,70-0,201
1,69-0,201
0,69-0,203
0,70-0,200
3,70-0,200
3,73-0,199
1,70-0,206
3,72-0,203
2,73-0,199
2,72-0,203
2,71-0,206
0,72-0,203
0,71-0,206
0,73-0,199
3,71-0,206
1,71-0,203
1,72-0,199
3,76-0,199
3,75-0,202
3,74-0,206
2,76-0,199
0,76-0,199
0,75-0,202
2,75-0,202
0,77-0,196
2,74-0,206
0,78-0,193
3,78-0,193
3,77-0,196
1,76-0,196
1,77-0,193
2,77-0,196
0,74-0,206
1,73-0,206
1,74-0,202
1,75-0,199
2,78-0,194
0,82-0,203
3,82-0,204
3,81-0,206
3,79-0,213
3,80-0,209
0,81-0,205
0,80-0,209
0,79-0,213
1,78-0,213
2,79-0,213
1,80-0,206
1,79-0,209
1,81-0,204
2,80-0,209
2,81-0,205
0,83-0,201
0,84-0,197
1,82-0,202
3,83-0,202
1,83-0,200
1,84-0,197
2,83-0,201
2,84-0,197
3,85-0,197
3,84-0,200
2,82-0,204
1,88-0,197
0,85-0,207
0,86-0,204
2,88-0,198
1,85-0,207
1,86-0,204
1,87-0,200
3,88-0,201
3,87-0,204
3,86-0,207
2,85-0,207
2,86-0,204
2,87-0,201
0,87-0,201
0,88-0,198
3,89-0,198
1,90-0,202
1,89-0,206
1,91-0,198
2,89-0,206
2,90-0,202
2,91-0,198
0,89-0,206
0,90-0,202
3,92-0,198
0,91-0,198
3,91-0,202
3,90-0,206
1,92-0,205
3,95-0,200
1,93-0,203
2,92-0,205
2,93-0,203
2,94-0,200
0,94-0,200
0,93-0,203
1,94-0,200
3,94-0,203
3,93-0,205
0,92-0,205
3,99-0,199
2,95-0,207
2,96-0,203
3,98-0,202
3,97-0,205
2,97-0,199
3,96-0,207
0,95-0,207
0,96-0,205
0,98-0,199
0,97-0,202
1,95-0,207
1,96-0,205
1,97-0,202
3,101-0,194
2,98-0,197
2,99-0,194
0,99-0,197
0,100-0,194
3,100-0,197
1,99-0,197
1,100-0,194
1,98-0,200
3,103-0,207
3,102-0,211
0,103-0,203
3,104-0,203
0,102-0,207
0,101-0,211
1,101-0,211
1,102-0,207
2,101-0,207
2,100-0,211
2,103-0,201
0,106-0,193
2,105-0,193
0,105-0,197
2,104-0,197
0,104-0,201
3,105-0,201
1,105-0,197
1,106-0,193
3,107-0,193
3,106-0,197
1,103-0,204
1,104-0,201
2,102-0,204
2,106-0,218
2,108-0,212
2,107-0,216
1,107-0,218
1,108-0,216
1,109-0,212
3,108-0,218
0,109-0,212
0,108-0,216
0,107-0,218
3,110-0,212
3,109-0,216
2,109-0,210
1,111-0,207
2,111-0,203
1,112-0,203
1,113-0,200
2,110-0,207
2,112-0,200
3,114-0,200
3,113-0,203
1,110-0,210
0,113-0,200
0,112-0,203
0,111-0,207
0,110-0,210
3,112-0,207
3,111-0,210
2,113-0,208
1,114-0,208
1,115-0,204
2,114-0,204
1,116-0,201
2,115-0,201
0,116-0,201
3,117-0,201
0,115-0,204
0,114-0,208
3,116-0,204
3,115-0,208
1,117-0,208
1,118-0,206
3,119-0,204
3,118-0,207
0,118-0,206
2,116-0,208
0,117-0,208
2,117-0,206
2,118-0,203
1,119-0,204
1,120-0,201
3,120-0,201
0,120-0,201
0,119-0,204
2,119-0,201
1,121-0,209
3,121-0,209
0,121-0,209
2,120-0,209
2,121-0,206
1,122-0,207
0,123-0,204
0,122-0,207
3,123-0,204
3,122-0,207
2,122-0,204
1,123-0,204
3,126-0,231
2,126-0,226
3,125-0,234
0,128-0,222
3,124-0,237
2,127-0,222
0,127-0,226
3,129-0,222
3,128-0,226
0,126-0,228
3,127-0,228
0,125-0,232
0,124-0,237
1,129-0,222
1,124-0,237
2,123-0,237
1,125-0,234
1,126-0,231
2,125-0,228
1,127-0,228
2,124-0,232
1,128-0,226
0,131-0,213
2,128-0,220
0,129-0,220
0,130-0,216
3,130-0,220
2,131-0,210
2,132-0,208
2,129-0,216
2,130-0,213
1,135-0,205
2,133-0,205
1,130-0,220
1,131-0,216
1,132-0,213
1,133-0,210
1,134-0,208
3,132-0,213
3,131-0,216
0,134-0,205
3,135-0,205
0,133-0,208
3,134-0,208
0,132-0,210
3,133-0,210
2,134-0,203
1,136-0,203
3,136-0,203
0,135-0,203
1,137-0,209
2,137-0,204
1,138-0,207
1,140-0,201
1,139-0,204
2,135-0,209
2,136-0,207
3,138-0,207
3,137-0,209
2,138-0,201
0,139-0,201
0,138-0,204
3,140-0,201
3,139-0,204
0,137-0,207
0,136-0,209
1,141-0,208
1,143-0,202
1,142-0,206
3,143-0,202
3,142-0,206
2,140-0,206
2,139-0,208
0,142-0,202
2,141-0,202
0,141-0,206
0,140-0,208
3,141-0,208
1,144-0,209
1,146-0,203
1,145-0,206
3,144-0,209
0,146-0,200
3,147-0,200
0,145-0,203
3,146-0,203
0,144-0,206
3,145-0,206
0,143-0,209
2,143-0,206
2,142-0,209
2,144-0,203
2,145-0,200
